id,name,screen_name,created_at,id_tweet,id_tweet_origin,text_complete,hashtags,symbols,has_media,has_users_mention,has_urls_mention,source,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive
802,Jason Jacobs,JasonTweakdOut,2019-11-12 07:36:17,1194156948075270144,--,thank you pumasouthafrica #puma for the likes the editions are  ,puma,--,0,1,1,Instagram,--,--,--,--,0,0,0,0,0,0
803,Collectibles🇳🇬,CollectiblesNG,2019-11-12 07:32:06,1194155894923239426,--,italy renaissance kit is now available for purchase. 10000 for the jersey 700 for customizing 2000 for ,--,--,0,0,1,Twitter for iPhone,--,--,--,--,0,0,0,0,0,0
805,shelbern,BilalHa17316689,2019-11-12 07:14:25,1194151446620639232,1193912171668873216, #selenagomez ( ) fronts #puma's cali sport campaign. ,"SelenaGomez,PUMA",--,1,1,0,Twitter for iPhone,--,--,--,--,0,10,0,0,0,0
810,VintageShopCreations,vintageshopcrtn,2019-11-12 06:53:29,1194146176280477696,1178588247301050368," #sweden #kosta #orrefors #art #glass #figurine #animal #puma #cheetah #wwf big #paperweight | ebay #orrefor 
 ","Sweden,Kosta,Orrefors,Art,Glass,figurine,animal,PUMA,cheetah,WWF,paperweight,orrefor",--,0,1,0,Twitter Web App,--,--,--,--,0,35,0,0,0,0
811,Cynthia L. Mason,CynthiaLMason,2019-11-12 06:41:41,1194143207417794560,1193612920644669445, #puma #id79351 #manhattanacc #male #2yearsold #neutered puma needs #pledges and #donations so that a #newhopepartner # ,"Puma,ID79351,ManhattanACC,Male,2yearsold,Neutered,Pledges,Donations,NewHopePartner",--,0,1,0,Twitter for Android,--,--,--,--,0,12,0,0,0,0
814,AnimalLover,animallifepics,2019-11-12 06:34:20,1194141356077322240,--,cougar (puma). good morning world. happy tuesday!  #cougar #puma #pumas #cougarnation #wildlifephotography ,"cougar,puma,Pumas,CougarNation,wildlifephotography",--,0,0,1,Twitter Web App,--,--,--,--,0,0,1,0,0,0
820,TITOLO,titoloshop,2019-11-12 06:30:14,1194140326065319937,--,pricedrops many reduced sneakers and clothes shop now  #nike #adidas #puma #jordan ,"nike,adidas,puma,jordan",--,0,0,1,Buffer,--,--,--,--,0,0,0,0,0,0
823,mywallz,mywallznetwork,2019-11-12 06:29:04,1194140032279302144,--,get minimum 70% off on #puma #ajio ,"Puma,AJIO",--,1,0,1,Twitter Web App,--,--,--,--,0,0,0,0,0,0
828,1xmalaysiasports,1xmalaysiasport,2019-11-12 06:25:48,1194139208887283713,1193846021111140353," shirt alert: the new italy away shirt has been unveiled by #puma 

what do you think? ",Puma,--,1,1,0,Twitter Web App,--,--,--,--,0,3,0,0,0,0
834,Jose Perez,ayGregory13,2019-11-12 06:05:41,1194134146425204742,1194016883160354820," la recap a bunch of dope folk &amp; good meetings the best part about it was having my mom with me the whole time  
 ",--,--,0,1,0,Twitter for iPhone,--,--,--,--,0,9,0,0,0,0
